high0	high1	high2	high3	high4	high5	low0	low1	low2	low3	low4	low5	canver.plasmid	early0	early1	early2	unsorted1	unsorte21	unsorted3	unsorted4	unsorted5
4271	610	524	1050	744	1122	2324	656	1138	464	1333	1990	746	2200	1757	296	742	1165	713	542	514
1026	230	242	618	550	809	862	237	651	230	1168	1444	412	786	592	143	195	538	369	429	338
3907	413	534	885	797	1089	2180	383	1143	185	1735	2163	778	2384	1624	310	450	983	578	623	592
2326	120	428	606	580	727	1684	290	411	209	1789	1199	605	1514	1231	166	241	459	467	555	458
1375	82	211	202	322	578	810	116	470	111	682	767	410	872	681	119	170	333	258	214	251
2126	290	232	524	679	1602	1440	279	691	223	1648	2232	473	1253	1023	196	197	1022	474	564	458
581	349	266	550	664	1430	785	257	560	200	1176	1873	272	582	424	122	273	727	253	426	347
169	138	137	276	264	462	332	91	245	108	471	892	148	209	126	57	84	163	68	164	117
2307	267	134	347	682	1203	1329	279	524	127	1267	1611	636	1492	1229	273	225	239	292	500	349
3798	850	249	601	539	848	1100	398	440	268	936	1733	543	985	738	179	330	371	311	308	394
619	79	121	242	178	568	384	90	499	159	521	1317	256	504	372	88	81	450	148	152	256
358	187	271	532	384	970	295	158	476	155	576	1315	278	415	398	110	170	528	307	225	302
1679	266	923	525	483	953	1155	288	891	217	708	1100	539	1325	958	193	263	739	377	294	381
667	16	284	328	298	650	666	123	378	86	831	1444	313	625	588	109	213	447	201	224	254
3372	762	387	714	475	874	1381	418	624	128	1239	1730	494	1348	1091	192	427	772	534	414	417
1147	267	319	565	612	1015	943	260	656	229	1242	2133	520	1119	838	199	191	468	297	360	579
1488	497	634	653	491	1679	1082	204	732	101	1477	2086	549	1116	904	190	130	844	513	377	585
2322	109	319	603	740	829	1688	192	350	191	1121	1629	771	1593	1355	257	202	401	447	538	451
1913	282	668	762	703	1085	1212	289	933	273	1582	1416	658	1555	1249	267	279	1284	537	495	455
675	140	24	523	382	882	778	213	168	220	1140	1153	230	604	431	111	161	167	359	354	315
2067	479	453	1595	1311	2292	2059	657	1191	603	2602	3236	722	1507	1173	374	715	1418	911	875	1005
1812	392	428	540	572	1211	1242	386	377	277	1341	1518	490	1363	1092	210	445	467	539	444	457
698	379	224	589	341	651	662	171	344	245	541	1064	300	567	431	134	286	404	267	201	268
781	96	264	189	374	780	717	240	359	162	814	988	378	813	652	146	224	383	144	356	342
858	515	254	438	416	657	747	258	561	112	1040	1380	453	861	680	172	226	535	234	286	313
1198	501	235	439	550	1132	936	435	897	219	1290	1488	420	1029	734	173	485	499	314	363	598
141	173	410	568	415	757	269	124	390	196	700	1223	301	328	277	115	172	587	231	279	316
34	66	252	266	249	262	74	44	379	153	458	722	175	133	128	54	65	236	86	218	165
40	253	100	100	308	368	66	125	139	86	527	370	177	103	112	54	130	265	78	247	96
147	23	107	102	119	181	162	37	92	63	252	386	113	191	138	43	48	138	54	96	96
284	145	386	296	398	653	334	171	359	186	540	820	251	312	280	101	194	218	148	178	215
4947	276	946	889	867	1022	2611	222	655	234	1994	2374	946	2453	1679	335	271	813	572	480	677
4121	1887	426	970	1149	1668	2503	658	844	361	2236	2849	1013	2634	1954	381	552	971	654	698	684
1025	213	41	380	408	743	945	154	149	130	995	1587	488	1008	904	218	186	249	322	361	442
544	93	335	345	724	914	606	190	688	188	883	1035	420	845	560	166	243	655	173	406	332
60	1	125	15	14	171	66	1	101	1	39	127	44	78	85	17	3	143	37	11	42
2196	493	436	677	783	1268	1690	383	427	372	1439	1832	717	1396	1261	282	370	424	558	459	589
253	90	345	491	527	1157	417	224	636	125	1339	2436	320	437	374	145	192	635	223	321	425
95	160	90	198	324	536	201	215	222	68	655	1344	164	164	131	82	210	189	100	192	150
51	210	273	278	394	915	84	204	336	161	600	1573	247	136	135	87	180	559	72	293	230
70	135	322	279	404	708	162	148	411	163	491	1040	250	175	131	89	131	581	96	202	190
75	58	140	318	211	487	109	106	222	58	489	741	121	110	106	43	112	263	70	164	150
2741	446	547	718	562	1008	1599	336	737	288	1050	1719	561	1413	996	220	312	817	640	425	508
1148	129	18	251	411	1067	1184	151	128	215	761	1285	426	1037	725	166	213	184	282	264	370
1742	141	430	519	577	1047	1185	212	715	275	976	1076	506	1246	907	236	175	832	484	326	279
5149	990	806	918	1211	1452	3165	294	1188	233	2168	2566	976	2353	1730	330	471	1205	711	874	738
3322	608	156	569	792	1272	2545	528	335	447	1541	2233	873	2274	1533	338	486	556	608	613	603
276	255	301	336	532	828	528	128	353	178	1202	1072	398	626	407	137	97	439	190	392	327
899	210	735	504	634	820	1068	399	637	186	1729	1543	511	933	704	204	424	1052	418	599	439
113	116	308	238	480	538	178	164	182	125	789	776	184	208	161	92	118	282	93	313	174
1261	461	297	718	605	917	1110	300	829	496	1418	1697	521	1024	819	188	290	703	521	421	375
1024	170	423	295	283	433	948	280	397	79	499	911	418	894	670	153	270	460	240	168	205
660	121	47	496	221	529	557	218	76	146	579	772	301	867	512	121	176	195	312	252	237
2876	141	489	759	987	1629	2618	366	664	391	2230	3298	792	1956	1430	285	359	893	742	728	871
1425	388	524	737	483	575	971	359	935	290	716	1303	559	1074	798	194	308	726	466	372	375
4161	553	913	976	850	1316	2068	290	779	352	1646	2033	830	2034	1368	294	386	965	635	583	563
1859	163	181	410	425	624	1333	108	124	186	1387	1030	489	1217	873	172	133	235	366	390	338
328	180	152	571	202	698	379	192	198	238	460	891	305	444	366	108	199	277	245	157	151
122	100	114	338	268	296	149	80	232	167	611	868	144	214	184	63	130	320	137	138	190
182	95	261	233	296	374	281	101	163	19	421	653	316	359	303	86	130	262	133	226	168
286	130	937	567	407	734	486	129	502	169	745	1327	313	519	351	165	140	499	216	261	282
189	155	315	253	481	405	353	142	217	19	763	477	281	404	332	117	112	307	130	300	167
3121	263	698	453	580	1055	1684	152	248	141	1258	1722	679	1689	1218	246	265	388	350	317	408
240	191	179	282	305	665	375	217	281	77	581	936	230	298	254	98	196	438	172	157	205
562	93	281	612	273	661	369	161	263	169	932	1303	397	683	544	136	233	432	372	300	287
846	142	338	486	424	764	681	85	471	185	814	1698	568	934	873	226	153	402	444	275	387
588	178	366	300	364	672	336	74	387	128	794	870	439	962	693	178	125	597	230	280	245
429	148	224	190	206	271	305	61	267	54	387	579	146	367	210	59	57	406	38	107	156
3993	863	539	354	425	534	1456	139	317	330	854	964	587	1464	1157	182	180	398	460	292	287
1376	16	365	217	341	769	490	88	294	83	514	916	390	894	608	116	38	470	206	200	161
1038	556	338	738	480	668	1094	226	575	211	1948	1923	605	1215	869	247	297	546	368	335	423
67	1	73	307	176	218	119	98	166	66	433	368	131	133	136	70	117	297	120	193	79
215	56	224	757	510	753	408	142	816	398	1816	2226	379	440	417	186	213	843	594	565	401
592	237	248	676	479	435	719	283	673	122	1500	1742	309	697	580	147	293	517	375	447	404
316	127	73	412	380	593	609	392	284	135	1175	2250	245	486	468	130	329	317	302	373	482
