Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
538	607	538	751
275	476	242	112
526	655	720	1282
230	314	295	218
179	176	197	192
180	374	185	365
58	79	49	39
191	116	244	112
73	136	121	45
549	920	914	1174
176	179	212	110
157	108	113	347
145	143	292	155
92	143	100	129
96	473	178	39
405	363	485	597
314	293	393	527
603	290	611	359
460	322	583	645
237	356	235	242
131	200	169	230
185	154	284	272
815	629	1137	751
517	503	529	631
223	60	171	197
1095	1531	1385	1303
288	207	479	289
131	266	143	150
296	355	421	230
732	1189	945	1263
124	251	227	187
739	907	913	510
152	245	235	71
103	66	158	54
168	47	177	210
588	852	899	941
476	256	473	637
201	122	166	135
129	53	145	147
61	37	111	105
127	253	120	215
562	687	699	691
227	24	195	66
327	367	414	859
238	301	173	216
187	248	289	200
103	113	95	12
527	339	584	492
76	182	71	49
303	352	333	154
197	131	237	239
72	49	100	53
335	520	332	452
223	268	218	172
266	342	290	390
66	169	89	249
889	1128	1227	1356
466	224	471	454
97	166	150	88
320	393	403	502
265	305	347	508
629	886	719	753
134	48	169	42
126	229	243	395
234	206	155	185
353	396	445	428
724	1301	876	660
146	179	98	185
995	935	1149	1567
367	612	541	488
473	728	533	482
86	22	75	76
387	414	378	663
575	921	715	698
137	181	185	326
492	651	641	593
184	171	257	176
429	151	191	360
375	409	450	705
311	449	520	752
801	789	1033	1139
288	500	345	375
303	464	447	427
334	388	333	628
691	751	923	935
1249	1349	1587	1717
325	324	293	357
495	464	535	815
89	77	161	139
558	610	584	561
584	544	739	741
283	387	358	281
287	217	288	233
206	265	341	329
308	277	377	370
89	35	159	412
242	498	330	493
200	328	207	237
240	493	360	456
259	263	276	309
447	478	411	231
614	469	723	573
148	375	144	152
159	451	147	87
208	225	276	301
159	110	193	432
408	422	556	597
67	221	160	120
49	2	62	65
332	924	395	664
277	298	292	465
223	248	277	484
127	189	143	140
477	230	452	520
508	319	612	386
521	336	439	453
506	884	543	275
189	63	193	116
253	544	337	435
260	330	278	437
88	27	71	111
321	592	273	383
201	266	126	64
503	685	578	473
303	217	310	223
182	118	202	167
1275	1573	1606	1300
490	571	598	630
276	197	309	386
242	327	362	242
111	38	124	154
493	743	697	499
471	769	676	799
321	246	308	218
42	195	82	109
337	236	431	376
206	131	200	155
153	417	172	85
228	143	314	480
301	182	269	238
133	143	105	110
443	542	564	716
264	303	237	339
109	103	141	13
374	825	474	694
140	167	181	338
544	740	722	611
555	499	622	838
360	241	418	777
384	421	537	373
388	368	530	561
265	357	330	330
174	151	225	174
686	791	855	1014
647	712	798	831
407	163	406	714
790	645	1154	1407
285	123	298	397
196	142	158	196
26	13	42	40
197	166	286	312
133	494	248	286
172	95	163	116
543	489	627	475
177	172	223	496
40	262	65	20
674	758	878	1052
194	205	245	402
457	643	512	495
52	21	109	82
304	1291	480	674
830	800	857	849
328	333	356	461
337	261	331	323
219	191	209	316
170	194	271	183
359	545	416	330
596	599	744	1023
235	356	355	364
81	275	107	61
262	333	346	212
221	148	246	578
195	181	270	182
295	597	324	281
475	377	439	366
303	454	405	359
401	416	478	446
417	341	284	545
423	368	753	636
177	200	216	119
661	750	996	1169
140	117	179	172
176	177	222	270
176	145	193	330
334	254	535	515
215	123	187	96
45	56	79	51
88	73	78	56
75	62	123	21
72	140	78	31
138	213	183	122
416	520	598	606
248	147	323	405
285	328	312	434
696	791	876	1250
209	330	258	206
579	693	724	574
341	303	390	154
268	281	243	272
166	135	208	74
359	255	336	565
203	170	247	388
236	78	192	274
608	1135	812	1290
260	237	390	294
122	21	117	54
832	1061	1223	1361
291	417	343	234
1054	1141	1259	1222
463	646	470	442
432	206	506	371
181	87	167	135
103	148	82	78
453	226	355	706
136	320	190	105
115	105	175	134
153	55	253	61
196	204	284	395
156	96	221	83
171	244	260	414
180	115	237	122
306	226	332	715
404	376	385	472
413	792	566	458
593	419	665	659
80	54	114	154
175	25	138	67
162	96	161	119
206	187	306	129
725	872	802	589
616	716	804	759
67	22	57	84
47	64	88	54
717	939	1138	880
200	331	278	465
250	281	358	179
245	96	181	205
325	306	420	482
415	368	599	631
348	256	417	214
59	29	110	61
133	91	140	291
286	180	344	203
834	876	1017	782
292	511	409	229
10	0	15	15
282	206	320	170
70	301	91	141
56	41	103	50
50	54	29	25
112	58	44	29
785	881	751	541
209	151	233	140
153	34	187	126
344	709	621	624
64	44	137	36
261	219	314	213
213	70	246	210
700	592	915	838
960	1005	1266	1305
618	433	561	699
655	808	641	407
441	517	643	541
188	147	207	244
269	121	350	370
767	755	960	1078
286	374	360	172
70	81	104	71
93	40	102	184
621	664	779	774
99	287	142	54
93	118	167	130
118	187	117	115
444	404	472	426
419	603	386	299
141	183	165	206
412	502	619	336
879	590	1034	1329
1102	1489	1306	1459
494	686	686	531
154	37	201	149
195	196	151	132
384	435	524	378
319	760	461	281
266	287	316	415
79	109	158	111
336	375	462	602
651	821	848	776
956	1247	1064	1423
907	1494	1115	994
1121	859	1216	1019
132	247	167	186
232	213	347	319
87	124	137	247
343	280	386	470
324	409	408	847
662	457	932	1057
34	10	36	7
486	598	658	552
287	281	315	513
351	493	482	592
192	127	334	156
658	403	696	1002
97	48	121	218
276	225	481	469
843	938	973	1386
233	289	181	436
371	453	424	301
353	651	535	837
87	278	93	160
610	677	694	552
288	189	364	510
633	447	701	582
515	695	521	549
897	751	853	1147
110	318	101	84
453	620	435	403
215	272	253	138
289	346	355	436
542	369	630	759
135	100	101	103
874	819	860	823
257	313	253	298
269	133	343	299
389	449	469	488
303	514	433	701
343	257	281	373
334	337	368	541
158	350	182	100
28	47	63	56
279	166	354	547
77	233	72	75
371	706	524	476
99	218	86	126
142	143	191	126
88	20	122	127
858	1301	1039	727
36	63	52	43
161	318	311	126
214	205	316	189
183	210	279	373
337	291	506	246
457	429	615	651
338	518	367	406
68	30	76	39
133	260	154	65
443	235	528	465
403	440	458	450
328	711	530	261
20	59	61	84
109	89	180	80
168	123	230	270
244	75	229	67
248	202	309	258
117	52	154	7
689	920	831	513
154	129	119	139
91	160	106	54
12	153	8	36
740	349	861	625
122	25	138	53
253	134	293	152
181	334	234	217
517	503	684	370
121	62	91	210
536	714	568	300
196	118	239	184
57	209	103	124
868	769	1141	1112
694	800	758	797
228	214	476	559
348	418	456	535
214	383	330	253
491	241	598	335
565	700	722	706
364	209	296	200
141	216	223	143
63	48	124	9
312	85	302	262
61	22	146	331
649	521	782	556
622	730	827	1044
581	1000	792	557
175	179	206	247
860	664	1026	1165
117	87	135	108
141	166	158	140
187	374	302	156
864	912	1048	780
518	337	835	296
387	337	545	635
270	134	343	347
246	131	248	233
507	424	548	483
184	59	179	152
153	97	181	169
437	916	473	1211
503	316	706	459
149	56	131	26
240	102	327	328
191	107	243	104
458	364	689	604
718	467	835	724
357	325	548	439
849	977	1108	926
1021	886	1084	927
487	968	459	159
470	763	630	699
244	290	288	228
332	153	441	335
354	282	446	373
1592	1547	2063	1615
721	566	720	1058
718	636	634	475
162	112	271	359
221	345	251	194
617	735	827	1062
299	188	297	314
393	384	390	456
399	481	497	416
162	106	180	213
425	181	502	609
1378	1378	1615	2449
734	1626	789	610
769	899	963	944
395	287	528	377
158	421	200	78
19	7	17	25
280	138	389	308
297	163	369	172
288	335	437	593
107	98	163	79
348	468	420	428
1064	1073	1345	1180
211	182	282	80
608	400	386	268
64	107	86	54
170	0	287	70
429	761	537	197
432	509	473	579
215	63	349	263
