Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
410	354	490	493
96	6	91	29
359	538	528	102
501	452	587	276
559	479	638	376
653	861	739	746
345	255	311	282
70	159	81	127
262	300	336	414
276	210	341	409
990	1410	1333	1516
671	914	908	950
158	30	296	48
343	140	493	138
179	131	237	42
52	1	88	16
294	445	393	297
230	99	285	256
164	197	158	89
115	40	152	77
71	64	99	113
206	60	269	423
453	724	545	756
573	1075	887	472
716	747	767	665
454	429	584	451
215	137	174	111
289	47	264	147
669	757	743	407
1235	1057	1254	1228
126	137	168	208
413	439	387	468
1119	592	1361	950
323	344	247	475
501	802	571	554
588	257	819	729
425	840	633	519
297	292	321	428
283	300	342	178
279	251	361	186
106	119	136	109
448	209	849	498
88	265	124	83
510	302	668	413
469	558	570	445
115	244	159	180
255	333	209	199
1058	525	1198	868
792	1062	923	930
126	230	177	85
140	269	219	393
626	721	598	816
148	203	194	188
249	336	215	178
209	218	178	82
255	522	346	253
375	302	402	1932
276	148	286	333
227	236	169	150
369	543	416	347
316	484	324	219
240	174	288	171
232	272	304	146
319	203	393	200
229	371	327	137
142	68	131	57
379	119	374	336
175	117	249	263
688	555	784	659
149	164	203	180
672	480	699	630
44	36	22	98
337	428	412	524
77	55	72	41
230	250	275	151
129	26	65	20
550	1147	660	483
413	712	515	566
202	377	284	302
318	624	475	348
929	766	786	651
965	862	1199	1001
645	566	855	1304
208	316	353	273
439	339	524	394
367	718	465	358
112	15	58	67
159	223	270	55
272	293	390	578
142	223	165	280
713	1394	885	807
48	19	63	321
108	43	172	221
89	101	105	97
115	100	212	118
13	1	33	15
27	65	32	48
348	111	264	281
73	65	80	177
74	33	68	116
228	157	372	211
531	744	719	651
159	279	220	213
404	714	529	629
226	296	266	232
301	338	414	330
647	978	725	658
107	82	140	115
111	490	161	77
259	193	321	598
157	265	257	109
349	127	308	265
865	640	1065	575
778	539	1038	754
127	43	141	22
27	64	46	13
169	171	196	38
47	60	54	0
47	54	60	41
463	518	382	466
147	53	149	32
166	93	200	98
387	857	572	1021
194	188	233	148
251	141	304	151
196	161	168	47
348	399	417	397
398	514	512	871
240	200	291	278
617	450	962	527
173	183	251	157
308	242	337	170
469	515	696	511
460	358	489	614
139	216	289	67
760	783	1134	1169
745	573	999	846
124	87	180	122
352	465	367	328
95	171	179	32
455	369	510	237
247	248	263	395
355	310	494	352
44	9	33	77
215	275	320	395
486	615	603	594
784	672	1078	706
88	157	67	202
508	398	812	952
66	97	121	92
429	278	354	562
320	239	409	454
123	341	151	116
804	744	1107	662
471	538	391	669
471	552	520	337
135	53	185	230
450	430	561	445
288	168	425	123
1270	1200	1509	1226
267	110	337	167
688	708	890	723
346	261	338	292
108	41	130	60
459	350	546	508
547	722	752	453
583	539	704	706
488	309	402	617
572	319	681	398
303	151	344	324
203	103	188	176
183	373	403	391
173	91	134	286
471	515	501	781
184	146	264	186
372	599	405	175
111	186	138	130
139	403	159	92
544	790	629	1072
132	118	105	157
667	680	802	662
263	206	317	277
412	146	521	596
217	464	322	250
278	323	283	441
83	169	114	42
243	212	317	310
197	369	200	393
446	513	544	659
254	537	306	198
696	741	697	846
863	767	1025	1223
464	204	514	464
160	176	214	167
190	91	207	413
72	178	124	45
572	456	620	234
496	543	576	348
535	571	806	809
360	166	401	146
132	198	196	134
817	869	1068	905
210	140	297	225
626	1254	634	522
61	97	151	120
353	564	432	402
540	488	589	393
234	129	268	273
737	673	746	558
307	214	357	248
209	213	379	163
227	277	278	337
151	74	143	228
351	627	287	740
581	566	742	368
166	282	217	98
72	115	94	64
317	476	294	482
185	183	296	191
275	253	280	157
115	71	102	250
472	411	706	596
30	51	27	0
289	249	328	178
588	1028	674	677
159	116	120	81
1140	1072	1294	878
1309	1122	1492	1672
392	403	619	756
221	308	304	200
175	198	189	104
475	269	567	260
189	49	225	235
695	680	792	1004
270	394	226	382
239	218	203	198
125	65	87	228
472	388	432	421
92	27	141	157
327	457	359	526
1025	1043	1436	1512
295	374	324	168
797	830	867	781
249	210	355	192
372	331	559	316
191	731	251	308
204	170	222	389
304	451	269	213
299	85	317	271
137	77	108	56
151	227	191	149
295	252	293	328
94	132	123	88
346	257	422	309
96	218	185	77
293	88	272	225
631	534	821	854
327	476	357	420
275	193	377	353
300	402	492	340
329	271	317	343
208	99	232	203
980	805	1241	1156
149	244	185	212
655	837	928	1116
187	366	175	162
176	163	235	208
326	300	392	453
181	175	377	95
378	451	300	382
161	180	219	154
299	158	330	145
1048	1524	1076	715
695	916	754	849
571	998	804	942
114	212	190	174
621	490	626	700
313	253	358	275
919	1153	1216	1247
624	611	799	847
184	184	238	354
451	583	621	778
833	826	998	739
660	327	924	930
389	293	429	255
224	241	199	135
474	553	564	570
289	203	317	325
219	258	340	175
339	365	350	442
203	310	254	354
358	533	410	742
385	570	397	254
376	369	458	555
164	123	211	182
655	1043	1009	616
407	566	520	411
424	584	639	562
89	38	55	250
53	113	57	64
226	246	256	360
125	156	137	162
101	148	172	75
79	198	187	69
113	176	288	168
814	745	1008	1393
120	134	98	113
370	215	375	349
340	249	360	287
146	124	223	239
155	539	189	250
1566	1533	1540	1824
376	527	443	331
210	51	237	333
341	225	442	252
201	307	312	105
389	755	459	396
221	264	342	247
395	556	433	458
133	57	89	92
180	313	347	138
401	332	427	543
151	12	211	194
187	165	207	426
528	580	590	662
393	455	347	370
391	503	395	330
612	537	640	392
529	697	690	512
464	533	615	542
212	182	189	115
385	307	548	243
447	384	551	785
294	384	357	388
313	153	346	459
91	216	197	436
290	580	321	471
201	169	271	150
265	181	373	265
260	175	379	286
10	0	12	7
161	146	265	143
760	811	852	1206
670	541	741	566
58	35	53	88
248	457	317	272
430	657	617	500
270	187	294	54
596	730	635	779
253	373	332	224
115	81	131	157
103	177	124	185
365	527	509	330
237	264	294	290
309	229	318	257
233	338	210	416
89	63	118	132
168	246	291	266
227	381	358	570
437	795	513	333
328	154	420	195
288	255	322	226
571	436	697	370
412	416	398	491
383	829	438	547
420	270	698	633
941	1175	1097	1130
784	619	737	1347
317	375	411	474
354	225	391	522
329	356	467	409
78	16	97	95
282	318	340	434
778	896	731	782
765	839	844	558
502	720	741	984
1158	1139	1229	1418
55	5	68	135
672	668	677	701
477	496	469	328
270	397	303	622
646	671	824	636
320	215	430	401
244	113	280	496
306	323	358	527
610	816	791	783
394	744	624	392
573	247	808	1058
938	924	1053	1536
810	1346	1206	2150
228	33	214	261
317	341	440	557
231	204	339	440
879	1259	1232	1319
213	248	283	247
380	163	464	470
153	218	250	89
353	482	387	364
295	485	323	549
153	116	98	178
633	903	983	1118
211	189	341	487
251	408	250	494
589	947	699	679
916	787	1005	1045
293	474	417	199
276	173	337	188
274	206	297	696
484	490	499	550
170	252	143	326
141	54	202	129
802	1005	1063	810
331	482	358	360
152	107	120	88
631	378	617	531
284	180	395	788
373	486	430	500
140	121	132	187
434	327	499	406
671	1101	703	813
480	481	554	435
157	39	183	146
308	408	387	1444
152	197	158	378
386	289	299	426
234	374	243	70
439	672	614	555
770	888	964	1184
700	1086	1013	595
414	314	547	414
457	352	423	275
188	111	228	198
311	516	406	259
310	570	433	346
58	120	70	100
231	300	374	272
196	261	245	373
557	734	638	549
164	77	209	601
140	136	187	46
66	123	127	66
91	46	70	287
531	532	681	688
491	431	497	355
331	376	365	194
214	175	282	100
454	357	635	364
960	1039	1204	1152
105	2	119	84
388	172	439	437
257	271	340	176
816	747	1001	1172
450	976	438	349
59	47	80	63
430	491	384	498
93	67	119	83
65	58	51	174
299	323	316	612
155	151	154	196
813	1023	892	885
67	63	61	173
453	444	474	636
207	176	254	386
212	35	226	200
989	711	1120	1042
50	62	52	15
689	596	782	737
263	452	390	369
131	178	166	66
245	210	274	377
520	1084	693	685
136	201	217	289
150	110	185	73
431	360	460	485
175	16	278	185
138	106	188	304
183	258	158	380
303	416	373	371
485	272	553	905
155	82	124	277
55	112	30	1
430	341	438	624
245	314	249	318
74	79	61	14
424	523	479	539
449	392	509	464
716	846	865	715
533	592	823	520
619	725	845	798
238	385	271	163
162	259	256	84
144	247	239	246
334	214	451	185
117	47	168	249
397	505	419	343
156	211	151	236
51	0	51	15
207	359	207	149
608	783	693	1115
204	296	325	130
278	214	263	372
392	480	500	657
406	804	534	708
303	611	363	243
150	237	189	116
223	352	334	306
418	396	397	501
359	157	359	436
122	59	195	292
431	329	539	777
138	38	119	64
249	1252	357	415
168	108	229	241
431	424	520	397
288	210	391	238
1065	1537	1509	882
255	312	366	224
218	162	281	216
540	398	627	724
256	179	305	363
644	578	731	564
310	244	354	242
597	658	854	698
414	455	557	411
106	219	165	60
641	758	607	506
445	841	638	701
292	517	438	257
165	133	264	130
88	36	129	143
275	99	347	275
951	555	1163	788
676	294	655	421
135	101	236	171
104	49	139	165
526	635	539	700
382	185	525	395
85	118	141	25
100	32	214	31
301	391	414	423
236	323	267	141
300	261	417	122
60	59	101	66
255	99	355	142
782	513	833	402
295	208	325	294
400	373	434	388
280	420	360	153
317	191	398	198
319	119	338	437
120	69	169	60
360	450	550	430
254	121	320	103
31	7	35	46
521	146	655	459
1411	1530	1648	1935
748	351	912	380
180	510	296	301
316	90	331	165
722	209	902	409
229	126	306	47
163	42	211	126
321	94	315	106
37	0	33	17
195	175	231	163
565	190	761	496
318	245	387	206
438	86	424	271
307	99	318	88
331	222	309	123
171	89	150	97
106	14	177	18
44	79	80	11
673	930	984	705
600	111	635	352
87	15	129	125
209	113	345	20
327	16	355	29
104	27	94	18
161	37	171	18
322	61	376	192
163	20	157	17
213	72	266	58
225	97	269	102
70	0	67	31
158	163	276	84
116	9	113	17
209	103	269	66
490	171	544	89
234	87	448	36
154	13	178	19
215	45	325	54
109	1	130	16
147	29	115	24
283	34	504	67
274	19	426	102
388	108	485	113
474	64	584	77
475	38	456	63
91	46	111	40
148	104	137	26
239	66	292	187
426	36	475	241
679	93	755	96
374	64	466	118
521	268	632	202
36	10	108	2
30	8	34	46
282	40	281	11
1283	239	1272	145
822	323	1041	572
204	0	153	46
34	0	27	1
36	0	63	17
160	0	168	40
710	467	897	607
325	268	421	282
194	0	210	31
353	7	349	127
138	3	105	149
136	9	111	41
494	287	697	257
326	88	398	82
321	133	276	142
194	1	275	87
180	19	189	132
191	22	236	78
571	79	652	276
306	98	403	33
156	35	238	66
169	36	192	5
787	299	996	173
48	0	109	16
119	50	106	30
156	166	237	18
352	147	449	139
592	123	633	288
303	68	467	190
549	106	807	152
62	19	61	15
531	198	665	159
234	55	236	63
357	253	541	341
658	552	844	338
336	207	347	291
176	104	294	112
93	84	128	40
496	468	628	445
152	200	205	245
102	89	163	210
343	274	434	249
444	269	522	541
168	157	223	132
399	266	445	437
355	113	359	178
241	227	282	376
337	628	393	666
235	399	328	308
291	152	506	178
390	143	526	337
203	114	243	154
44	0	74	0
131	137	180	135
689	398	588	582
538	793	733	465
321	347	351	193
533	534	509	379
486	858	689	636
123	189	195	132
63	11	94	146
600	619	712	625
108	55	144	19
250	90	270	188
319	117	428	230
187	23	283	6
688	187	754	318
612	116	660	238
298	156	264	170
1329	524	1712	383
73	7	74	20
427	374	587	424
185	317	170	67
186	167	244	322
619	840	890	716
552	1144	724	480
523	486	754	730
1451	1367	1668	1999
163	286	223	224
345	521	372	620
442	417	469	492
21	39	87	197
388	715	420	318
390	170	462	548
233	348	470	317
26	43	66	13
118	50	84	96
526	552	509	552
243	174	288	498
196	128	301	252
420	227	417	412
225	371	347	296
127	194	144	381
136	107	103	126
307	369	413	357
205	335	342	151
232	229	303	280
27	11	22	6
201	244	260	128
471	214	533	500
101	47	126	83
157	43	270	190
263	427	330	236
278	199	382	1240
308	96	278	163
215	189	251	250
533	574	722	474
699	1065	738	461
160	172	241	163
18	12	20	12
194	194	212	203
933	648	1308	892
99	138	97	7
530	296	481	753
279	316	567	331
51	142	116	60
677	625	782	783
217	39	267	70
158	95	314	87
655	579	687	744
101	137	115	122
718	676	913	920
998	822	1219	689
72	49	178	50
1014	1024	1256	843
331	313	354	310
133	45	190	105
319	404	317	391
221	99	225	234
143	151	187	90
214	417	240	400
177	262	217	382
197	191	329	443
149	269	260	266
294	367	321	618
223	65	201	260
146	223	149	97
713	919	956	808
691	574	819	575
491	340	456	544
318	355	398	325
466	590	544	314
1012	980	1185	1525
152	164	145	222
138	312	216	149
353	199	368	410
377	402	488	425
76	210	159	200
733	1049	847	1241
293	362	410	873
297	388	310	339
423	458	658	645
344	720	462	654
270	401	322	219
236	354	382	278
76	51	82	159
40	20	29	0
19	76	53	1
1113	1461	1021	1413
98	65	85	78
418	622	483	499
629	416	582	505
166	94	225	214
132	116	154	280
475	403	388	392
618	300	734	593
436	350	552	332
221	251	369	510
701	779	783	1091
417	398	549	404
335	554	509	305
288	315	395	339
100	25	132	73
159	122	174	30
120	37	93	38
501	510	637	537
216	185	325	332
223	156	282	531
133	128	96	185
222	86	220	281
114	118	159	33
47	18	83	29
277	410	340	298
590	608	666	646
93	93	126	70
140	30	88	99
742	813	893	562
288	456	406	243
415	386	562	614
399	582	653	935
57	2	91	90
294	378	356	290
188	151	207	61
211	431	349	282
110	92	130	84
197	294	229	192
393	690	390	470
121	116	104	41
220	168	240	375
288	464	445	603
322	178	422	137
477	736	621	687
136	110	112	144
551	807	562	576
808	750	793	1316
236	271	262	241
298	282	485	418
53	49	71	52
216	260	173	123
74	2	42	72
77	76	75	90
165	213	135	63
481	285	710	340
144	140	151	81
232	259	311	289
27	6	96	30
217	397	311	257
300	295	455	397
689	727	794	902
461	574	435	453
905	1127	1216	1294
712	820	698	555
95	95	160	135
1187	1383	1766	2333
308	418	329	479
97	15	114	126
76	99	92	25
1103	1658	1503	1330
694	479	650	720
154	80	130	63
592	550	595	515
161	82	164	177
238	125	282	343
177	362	228	272
335	902	438	416
255	452	304	627
678	635	658	643
508	298	667	763
169	205	187	102
385	251	512	516
313	324	294	182
292	353	454	440
171	293	268	119
114	395	109	31
207	86	309	264
395	651	529	349
139	298	104	148
157	388	184	369
195	356	205	194
637	642	771	911
267	203	199	233
86	103	105	136
196	165	260	272
594	679	809	661
538	916	711	511
163	162	271	157
163	197	235	204
316	237	363	382
318	85	349	177
38	36	94	143
115	58	115	51
148	238	209	221
268	73	359	166
200	181	316	174
140	88	162	180
446	640	583	576
366	738	465	343
774	1107	1040	595
80	133	140	56
115	91	149	117
229	112	256	88
916	1314	1147	1335
992	1020	1181	1188
201	193	265	194
368	599	498	293
59	95	61	96
360	521	642	331
102	146	218	127
55	97	91	127
275	280	300	535
430	432	529	696
159	94	243	173
147	188	193	139
48	55	38	79
148	115	220	152
193	92	186	115
682	527	856	824
7	19	18	29
194	160	251	91
261	645	308	217
175	177	220	189
500	947	667	827
122	95	129	134
488	436	661	905
310	257	446	429
1279	1207	1508	1390
1002	1484	1155	1407
819	1175	1005	1097
375	429	427	507
161	406	289	182
69	48	111	78
557	863	778	907
193	100	275	143
314	507	374	327
514	426	659	460
204	267	216	116
124	22	66	83
466	667	546	572
1157	1521	1322	1461
249	142	314	71
103	52	244	165
309	90	471	191
208	313	223	333
245	404	480	363
170	145	250	147
179	173	268	126
347	490	554	586
130	130	179	109
570	405	690	476
707	882	978	997
229	212	406	432
432	546	610	578
514	881	554	992
341	194	404	439
187	200	188	116
193	160	268	210
671	703	861	1150
156	120	146	155
444	473	556	888
723	614	936	919
223	305	280	283
74	287	88	49
494	306	435	370
69	79	72	51
258	272	348	376
94	65	114	317
53	38	89	33
509	601	544	661
533	307	641	262
86	101	91	94
192	224	273	366
199	221	223	201
178	119	152	111
36	59	91	1
396	448	464	452
163	358	170	138
249	178	292	314
300	255	393	339
239	109	304	227
363	474	512	674
223	261	222	220
318	311	419	587
131	356	263	162
72	76	128	100
366	545	619	844
306	289	406	87
491	357	528	337
204	235	277	438
33	46	14	40
161	123	253	264
182	281	177	443
324	470	511	657
367	519	443	620
396	416	400	364
486	418	691	399
600	619	661	511
170	280	350	113
607	590	621	891
295	391	307	418
279	526	387	300
260	280	357	137
377	348	479	338
596	565	646	1021
339	346	426	441
619	399	834	932
352	570	560	529
717	740	747	932
261	335	444	290
198	313	284	225
105	226	119	267
170	268	250	383
690	769	880	1203
223	174	290	396
266	138	303	234
46	41	57	37
195	296	261	432
223	187	324	258
489	774	660	784
573	877	723	1194
402	377	372	403
542	357	584	473
120	485	136	29
82	49	146	192
400	371	492	384
258	217	253	465
51	5	47	58
344	442	448	657
150	117	267	259
197	151	159	120
262	291	345	459
520	765	518	448
63	155	93	13
213	512	252	261
427	593	544	495
544	394	685	405
710	1118	928	963
556	444	554	491
834	789	796	851
420	349	470	526
312	442	364	346
198	75	264	450
174	166	189	88
735	915	889	623
145	140	115	166
368	484	535	482
298	237	304	151
307	274	359	370
200	139	213	201
14	190	69	128
434	346	557	778
362	419	494	713
1345	2170	1713	1434
273	404	331	442
599	788	589	865
356	432	527	457
101	153	123	182
7	29	17	0
308	315	318	266
583	347	502	629
331	333	339	370
341	243	518	169
300	471	458	348
153	105	117	77
139	156	217	340
219	268	294	219
35	168	74	245
224	354	290	369
483	360	429	371
322	307	480	457
167	20	201	455
239	288	298	418
229	419	299	267
530	418	598	2126
1121	695	612	807
334	664	451	302
60	55	99	78
64	16	73	53
150	152	213	167
325	250	413	354
72	42	140	73
108	58	97	155
767	986	1010	732
129	87	217	221
148	316	233	127
202	206	272	97
328	268	402	277
128	85	186	187
205	283	268	334
178	264	278	162
366	297	504	689
383	260	414	589
521	506	610	592
170	324	359	294
14	18	19	84
246	762	317	269
214	484	208	200
387	451	444	447
225	396	325	148
233	170	256	359
528	357	561	424
350	193	334	219
521	826	617	366
497	575	518	484
732	614	822	724
197	483	339	66
271	374	469	418
70	108	116	223
60	51	123	138
269	555	305	169
120	111	163	126
1421	1166	1609	1902
917	820	1039	996
694	672	847	988
301	491	529	315
458	731	571	590
83	114	92	131
268	346	280	510
425	759	524	766
435	476	439	790
101	7	215	89
573	708	961	708
435	625	647	427
360	291	487	454
174	180	217	473
179	226	321	184
54	13	43	57
54	351	78	92
414	198	386	406
30	0	16	31
127	185	159	346
356	316	367	272
522	427	696	650
113	103	178	124
786	844	948	693
111	98	103	54
145	180	209	308
83	36	80	43
155	146	210	102
16	3	38	35
248	248	419	294
181	47	245	213
3	12	16	0
43	86	54	59
52	64	74	60
91	227	130	115
111	195	118	62
719	638	735	601
64	46	120	131
288	181	284	371
481	450	479	762
517	510	630	576
210	503	248	310
651	958	636	937
99	118	114	188
727	507	915	981
145	60	129	119
80	66	133	76
149	183	214	54
2	0	14	6
231	208	311	247
466	627	564	634
632	688	732	1052
428	862	619	534
434	601	410	767
187	170	237	212
264	174	280	193
182	26	171	284
68	252	115	125
115	176	183	278
376	433	349	420
508	313	515	351
517	416	558	437
45	193	74	31
101	191	136	148
289	600	391	264
528	650	609	498
649	534	754	547
300	316	332	450
656	465	823	852
282	565	385	421
233	257	282	59
802	472	793	924
320	546	388	582
736	586	872	980
370	317	615	647
630	815	965	1191
290	268	291	284
59	60	106	163
166	284	136	185
210	84	233	191
1191	1874	1566	1693
524	670	691	681
350	427	422	289
267	454	427	589
1641	738	832	1431
225	245	178	197
213	69	132	60
413	245	496	757
99	79	148	71
465	496	700	377
50	193	133	79
97	33	78	47
254	219	288	285
391	431	465	746
1723	1710	2199	1883
1345	1661	1747	1395
65	52	62	25
518	439	649	379
1023	872	1019	1124
342	268	356	440
526	699	722	615
139	126	230	170
499	526	626	842
836	911	919	881
246	227	255	236
619	889	553	554
582	1080	617	581
104	51	100	64
583	691	712	627
241	231	265	256
78	180	102	214
330	244	450	177
139	12	178	65
190	226	255	311
270	246	426	504
747	638	855	1105
786	632	878	1065
49	66	90	34
677	1104	752	702
586	763	630	694
430	566	575	610
245	130	415	471
233	439	242	404
569	507	851	680
908	1058	1002	868
156	118	145	353
809	340	1116	533
854	854	1016	822
764	1372	910	800
746	910	916	804
736	517	817	542
293	206	375	504
332	279	496	336
353	377	390	480
186	238	223	457
252	224	327	459
326	515	362	212
254	124	310	421
180	227	172	199
278	353	259	314
260	261	245	326
645	1217	885	834
508	503	679	628
149	89	211	122
393	408	483	533
133	157	208	134
99	138	212	264
412	213	648	330
154	194	222	438
509	860	606	399
598	969	721	583
117	76	136	71
450	160	358	453
464	364	615	762
506	486	575	597
641	788	814	753
665	695	896	1025
96	99	114	104
490	431	650	1034
487	693	675	651
355	536	299	337
522	656	385	537
80	110	117	115
184	330	211	177
344	414	418	507
703	867	971	1180
125	160	123	48
166	180	164	150
358	218	378	466
354	364	423	110
501	393	713	810
65	62	162	39
302	206	385	503
61	117	119	231
443	557	535	332
271	220	301	238
471	469	506	481
172	208	223	110
330	575	441	272
534	525	628	1056
227	706	302	264
81	266	129	34
438	1129	722	1025
683	908	794	614
225	280	303	209
307	149	323	325
92	222	123	103
385	638	442	356
883	987	994	1055
112	117	171	480
719	985	910	741
223	156	316	234
416	483	539	552
252	301	298	466
284	229	352	571
242	227	311	215
266	395	269	190
186	189	248	266
158	313	160	308
353	345	336	364
342	261	373	368
573	809	667	964
380	667	574	432
368	531	510	521
226	606	333	196
198	204	151	202
196	237	288	188
342	187	315	239
209	132	208	335
387	394	327	179
200	189	256	144
27	89	49	62
155	179	201	153
207	144	326	189
451	496	662	778
543	578	690	844
526	557	408	319
501	602	617	434
340	292	361	244
666	956	686	1091
148	342	145	174
252	409	330	128
781	840	743	784
115	65	93	284
560	445	632	613
111	131	160	139
737	754	779	764
631	762	673	1060
186	149	171	134
957	1139	1001	1023
218	383	232	172
828	829	1017	1466
86	49	89	65
137	59	261	145
101	105	102	93
446	322	432	469
252	240	307	301
245	257	242	289
243	172	363	496
106	54	68	73
186	595	244	306
294	247	250	308
324	458	464	953
391	345	378	373
576	347	781	574
229	428	263	438
555	1019	723	533
358	469	431	458
53	84	75	8
210	131	140	282
1036	1313	1268	2038
123	94	129	70
287	182	434	349
137	74	180	66
689	726	868	1184
367	256	412	429
367	361	482	454
316	261	335	504
1054	877	1121	1150
612	360	631	287
638	542	808	880
195	350	153	185
280	270	478	396
415	307	496	480
474	413	676	603
205	116	211	259
1303	1017	1580	1490
269	343	276	295
567	682	603	296
226	232	349	322
182	191	205	174
304	229	291	690
62	48	119	115
355	345	403	422
198	204	198	119
86	59	71	85
266	148	420	195
45	22	53	44
496	529	566	524
87	79	177	92
396	475	456	632
213	285	318	142
165	274	278	306
219	162	166	367
73	105	95	110
165	319	246	146
369	427	423	429
476	1094	667	533
417	246	445	278
351	265	347	610
662	924	682	875
143	113	217	291
468	586	614	624
147	196	226	214
592	341	677	1095
680	1175	777	612
30	69	23	60
447	524	776	786
678	732	940	933
154	133	189	195
177	174	232	90
331	513	270	418
328	225	322	837
393	415	579	711
101	134	157	60
390	677	414	362
379	339	426	600
223	254	290	218
443	645	604	439
268	673	302	357
105	177	150	27
251	181	248	117
77	99	88	62
32	43	42	39
155	114	161	154
573	552	734	900
452	531	476	511
206	90	332	611
150	68	120	108
35	85	51	55
52	0	38	52
143	294	211	142
57	14	107	30
160	72	142	171
49	160	69	29
696	679	855	561
500	541	733	653
516	838	733	1142
143	351	264	458
17	14	20	22
14	19	55	31
165	149	145	153
792	661	1035	1294
90	31	73	80
105	171	69	18
52	23	51	16
197	208	243	184
59	56	113	171
211	455	316	277
518	448	384	431
1504	2030	1843	2156
30	81	14	54
127	182	226	337
250	171	268	445
1432	1580	1959	1637
76	159	169	70
555	503	780	442
260	367	235	464
520	404	613	821
113	69	102	31
260	153	296	349
175	243	141	132
228	268	324	310
356	196	372	360
176	190	286	294
786	1172	1123	1218
328	196	470	400
150	469	310	235
154	27	205	210
147	71	181	280
119	115	146	126
296	265	388	399
832	1280	1150	1096
54	149	79	125
540	553	598	458
101	19	97	82
747	696	743	736
341	437	554	310
127	63	158	65
571	562	708	561
229	140	383	378
556	603	721	913
300	248	405	171
591	729	791	497
272	255	366	278
541	628	699	681
547	731	657	497
193	174	162	193
38	79	57	109
251	268	266	210
219	592	339	325
168	140	202	188
90	174	156	23
89	131	124	120
260	300	227	242
162	207	293	331
90	65	98	219
112	158	150	44
443	660	612	458
97	37	78	132
41	6	113	49
188	117	207	231
1341	1290	1664	1766
379	471	515	242
826	1076	1022	1091
142	147	125	123
191	444	198	294
166	170	186	142
417	450	544	419
258	550	450	401
285	320	232	394
280	521	249	506
928	1143	1070	1039
151	124	161	221
183	464	301	251
112	234	145	345
196	159	325	752
1296	1951	1725	1521
366	211	499	468
476	578	522	601
208	341	214	276
0	0	1	0
421	309	561	511
133	241	356	341
1211	936	1477	1545
412	432	422	416
36	68	160	153
601	830	768	486
239	235	249	232
401	512	546	505
107	247	128	306
312	256	350	450
225	108	235	493
1066	1135	1068	1009
2	7	14	78
279	474	448	151
585	631	573	546
150	275	218	168
83	218	167	137
2353	828	930	652
383	529	443	425
271	331	262	365
161	186	205	242
439	528	468	737
120	217	146	99
219	176	149	251
243	256	280	193
73	23	140	174
53	46	78	25
664	517	873	873
407	481	483	340
277	230	338	431
107	141	152	11
636	814	861	961
276	312	283	247
227	413	265	456
117	67	99	67
435	618	550	727
181	161	235	153
334	322	407	643
234	260	259	156
435	618	447	481
133	137	189	290
390	401	433	507
393	371	493	353
281	234	316	318
356	436	385	338
113	49	115	111
285	317	336	269
304	520	423	147
84	107	29	127
426	492	454	594
560	553	661	510
446	945	573	736
380	241	431	426
166	209	226	669
314	227	352	250
369	451	368	280
98	94	111	64
270	227	427	338
1132	1127	1246	1406
1073	1135	1255	1680
404	352	417	330
242	153	213	210
142	153	149	161
576	721	810	761
203	173	221	113
151	247	166	106
227	143	322	478
137	42	166	322
646	530	753	969
280	309	311	268
420	600	487	603
440	360	589	582
27	18	28	56
120	146	203	206
117	62	115	48
92	70	83	129
81	159	166	157
143	159	173	331
462	417	678	779
416	261	478	350
280	358	384	638
190	345	241	377
154	159	180	190
137	222	147	211
484	602	532	744
168	178	216	132
452	209	519	495
306	402	305	342
220	453	221	497
225	315	277	423
435	416	566	525
177	226	178	237
455	536	469	331
153	501	255	236
200	103	190	200
59	117	97	246
1147	1351	1052	1379
188	62	200	431
304	289	406	129
605	574	628	787
194	252	314	337
575	451	681	814
111	200	156	235
348	300	357	506
69	149	125	46
118	54	143	64
163	123	190	204
737	581	891	822
1623	2284	1976	1684
1257	1778	1387	1553
177	274	175	123
219	388	249	324
357	704	617	353
392	579	474	524
338	532	415	374
169	209	160	244
90	58	117	215
481	421	635	717
569	1005	777	1370
292	278	334	349
224	350	221	388
240	195	212	120
287	256	301	262
504	594	505	591
293	996	281	355
293	214	264	345
444	442	471	495
419	393	635	674
105	42	140	100
234	132	230	323
406	455	405	684
189	143	224	146
24	210	14	76
304	315	342	282
184	204	224	462
230	143	226	296
391	283	407	443
36	35	52	10
55	139	135	23
776	838	847	931
177	205	164	78
167	220	350	326
242	221	218	353
231	69	266	36
109	144	151	91
318	631	529	388
540	583	702	628
204	396	214	430
179	316	182	267
209	293	258	69
300	141	200	363
473	896	665	560
152	79	170	262
294	259	286	238
337	522	469	405
1295	1771	1447	1404
454	541	428	681
226	173	322	239
287	501	451	560
75	101	129	148
266	239	285	284
414	780	588	627
462	425	557	670
216	184	261	156
547	611	609	531
145	99	263	104
210	135	156	61
93	28	96	48
465	333	553	243
620	623	679	781
406	276	538	577
255	326	335	438
567	373	681	846
87	168	199	233
487	582	640	490
323	520	379	204
371	547	406	376
237	57	220	142
104	53	111	69
79	143	116	286
195	48	187	314
174	292	193	252
711	682	685	630
405	1261	602	580
299	322	328	426
870	944	1169	1371
111	284	153	105
365	365	555	518
160	119	174	322
262	310	297	401
300	96	236	138
110	60	148	82
215	1010	222	142
354	434	355	270
141	82	255	182
1227	2033	1830	1730
286	238	389	455
440	534	582	615
283	222	352	248
325	382	272	160
130	199	182	80
596	459	649	576
